test score,n_estimators,max_features,max_depth
0.79539843,59,168,40
0.75286195,564,170,10
0.80044893,684,34,41
0.79938272,576,117,98
0.80089787,293,87,66
0.8,618,182,25
0.79635241,285,191,66
0.8013468,748,64,33
0.8010101,393,175,27
0.79741863,356,19,39
0.8,940,31,100
0.79769921,913,18,100
0.79590348,93,15,100
0.7959596,936,210,100
0.79674523,83,28,100
0.79304153,76,220,100
0.79601571,959,211,100
0.62749719,992,11,3
0.79567901,1000,10,82
0.79433221,1000,10,54
0.78333333,69,21,18
0.79500561,1000,10,74
0.79494949,1000,10,90
0.79534231,1000,10,47
0.79534231,1000,10,61
0.80241302,958,26,30
0.79500561,906,12,95
0.7962963,984,212,35
0.7996633,975,35,70
0.79556678,1000,220,82
0.79556678,102,205,30
0.7959596,140,215,77
